,questions,answers,question_codes,answer_codes
33,"34. If a distribution is skewed to the right and has a median of 20, will the mean be greater than or less than 20?","If the given distribution is a right-skewed distribution, then the mean should be greater than 20, while the mode remains to be less than 20.",A34,A34
34,35. What is Bessel's correction?,"Bessel’s correction is a factor that is used to estimate a populations’ standard deviation from its sample. It causes the standard deviation to be less biased, thereby, providing more accurate results.",A35,A35
35,"36. The standard normal curve has a total area to be under one, and it is symmetric around zero. True or False?","True, a normal curve will have the area under unity and the symmetry around zero in any distribution. Here, all of the measures of central tendencies are equal to zero due to the symmetric nature of the standard normal curve.",A36,A36
36,"37. In an observation, there is a high correlation between the time a person sleeps and the amount of productive work he does. What can be inferred from this?","First, correlation does not imply causation here. Correlation is only used to measure the relationship, which is linear between rest and productive work. If both vary rapidly, then it means that there is a high amount of correlation between them.",A37,A37
37,38. What is the relationship between the confidence level and the significance level in statistics?,The significance level is the probability of obtaining a result that is extremely different from the condition where the null hypothesis is true. While the confidence level is used as a range of similar values in a population.Both significance and confidence level are related by the following formula:Significance level = 1 − Confidence level,A38,A38
38,39. A regression analysis between apples (y) and oranges (x) resulted in the following least-squares line: y = 100 + 2x. What is the implication if oranges are increased by 1?,"If the oranges are increased by one, there will be an increase of 2 apples since the equation is:y = 100 + 2x.<img class=""aligncenter wp-image-204480 size-full"" src=""https://intellipaat.com/blog/wp-content/uploads/2020/09/Become-a-Data-Science-Architect-IBM.jpg"" alt=""Become a Data Science Architect"" />",A39,A39
39,40. What types of variables are used for Pearson’s correlation coefficient?,"Variables to be used for the Pearson’s correlation coefficient must be either in a ratio or in an interval.Note that there can exist a condition when one variable is a ratio, while the other is an interval score.",A40,A40
40,"41. In a scatter diagram, what is the line that is drawn above or below the regression line called?",The line that is drawn above or below the regression line in a scatter diagram is called the residual or also the prediction error.,A41,A41
41,42. What are the examples of symmetric distribution?,"Symmetric distribution means that the data on the left side of the median is the same as the one present on the right side of the median.There are many examples of symmetric distribution, but the following three are the most widely used ones:Uniform distributionBinomial distributionNormal distribution",A42,A42
42,43. Where is inferential statistics used?,"Inferential statistics is used for several purposes, such as research, in which we wish to draw conclusions about a population using some sample data. This is performed in a variety of fields, ranging from government operations to quality control and quality assurance teams in multinational corporations.",A43,A43
43,44. What is the relationship between mean and median in a normal distribution?,"In a normal distribution, the mean is equal to the median. To know if the distribution of a dataset is normal, we can just check the dataset’s mean and median.",A44,A44
44,"45. What is the difference between the Ist quartile, the IInd quartile, and the IIIrd quartile?","Quartiles are used to describe the distribution of data by splitting data into three equal portions, and the boundary or edge of these portions are called quartiles.That is,The lower quartile (Q1) is the 25th percentile.The middle quartile (Q2), also called the median, is the 50th percentile.The upper quartile (Q3) is the 75th percentile.",A45,A45
45,46. How do the standard error and the margin of error relate?,"The standard error and the margin of error are quite closely related to each other. In fact, the margin of error is calculated using the standard error. As the standard error increases, the margin of error also increases.",A46,A46
46,47. What is one sample t-test?,This T-test is a statistical hypothesis test in which we check if the mean of the sample data is statistically or significantly different from the population’s mean.,A47,A47
47,48. What is an alternative hypothesis?,"The alternative hypothesis (denoted by H1) is the statement that must be true if the null hypothesis is false. That is, it is a statement used to contradict the null hypothesis. It is the opposing point of view that gets proven right when the null hypothesis is proven wrong.Check out this Data Science Certification course to become a certified Data Scientist.",A48,A48
48,"49. Given a left-skewed distribution that has a median of 60, what conclusions can we draw about the mean and the mode of the data?","Given that it is a left-skewed distribution, the mean will be less than the median, i.e., less than 60, and the mode will be greater than 60.",A49,A49
49,50. What are the types of biases that we encounter while sampling?,"Sampling biases are errors that occur when taking a small sample of data from a large population as the representation in statistical analysis. There are three types of biases:The selection biasThe survivorship biasThe undercoverage biasNext up on this top Statistics Interview Questions and answers blog, let us take a look at the advanced set of questions.<img class=""aligncenter size-full"" src=""https://intellipaat.com/blog/wp-content/uploads/2020/09/Certification-in-Bigdata-Analytics-IITG.jpg"" alt=""Certification in Bigdata Analytics"" />",A50,A50
50,51. What are the scenarios where outliers are kept in the data?,"There are not many scenarios where outliers are kept in the data, but there are some important situations when they are kept. They are kept in the data for analysis if:Results are criticalOutliers add meaning to the dataThe data is highly skewed",A51,A51
51,52. Briefly explain the procedure to measure the length of all sharks in the world.,Following steps can be used to determine the length of sharks:Define the confidence level (usually around 95%)Use sample sharks to measureCalculate the mean and standard deviation of the lengthsDetermine t-statistics valuesDetermine the confidence interval in which the mean length lies,A52,A52
52,53. How does the width of the confidence interval change with length?,"The width of the confidence interval is used to determine the decision-making steps. As the confidence level increases, the width also increases.The following also apply:Wide confidence interval: Useless informationNarrow confidence interval: High-risk factor",A53,A53
53,54. What is the meaning of degrees of freedom (DF) in statistics?,"Degrees of freedom or DF is used to define the number of options at hand when performing an analysis. It is mostly used with t-distribution and not with the z-distribution.If there is an increase in DF, the t-distribution will reach closer to the normal distribution. If DF > 30, this means that the t-distribution at hand is having all of the characteristics of a normal distribution.",A54,A54
54,55. How can you calculate the p-value using MS Excel?,Following steps are performed to calculate the p-value easily:Find the Data tab aboveClick on Data AnalysisSelect Descriptive StatisticsSelect the corresponding columnInput the confidence level,A55,A55
55,56. What is the law of large numbers in statistics?,"The law of large numbers in statistics is a theory that states that the increase in the number of trials performed will cause a positive proportional increase in the average of the results becoming the expected value.Example: The probability of flipping a fair coin and landing heads is closer to 0.5 when it is flipped 100,000 times when compared to 100 flips.",A56,A56
56,57. What are some of the properties of a normal distribution?,"A normal distribution, regardless of its size, will have a bell-shaped curve that is symmetric along the axes.Following are some of the important properties:Unimodal: It has only one mode.Symmetrical: Left and right halves of the curve are mirrored.Central tendency: The mean, median, and mode are at the midpoint.",A57,A57
57,"58. If there is a 30 percent probability that you will see a supercar in any 20-minute time interval, what is the proba­bility that you see at least one supercar in the period of an hour (60 minutes)?","The probability of not seeing a supercar in 20 minutes is:= 1 − P(Seeing one supercar)= 1 − 0.3 = 0.7Probability of not seeing any supercar in the period of 60 minutes is:= (0.7) ^ 3 = 0.343Hence, the probability of seeing at least one supercar in 60 minutes is:= 1 − P(Not seeing any supercar)= 1 − 0.343 = 0.657",A58,A58
58,59. What is the meaning of sensitivity in statistics?,"Sensitivity, as the name suggests, is used to determine the accuracy of a classifier (logistic, random forest, etc.):The simple formula to calculate sensitivity is:Sensitivity = Predicted True Events/Total number of Events<img class=""aligncenter wp-image-204480 size-full"" src=""https://intellipaat.com/blog/wp-content/uploads/2020/09/Become-a-Data-Science-Architect-IBM.jpg"" alt=""Become a Data Science Architect"" />",A59,A59
59,60. What are the types of biases that you can encounter while sampling?,There are three types of biases:Selection biasSurvivorship biasUnder coverage bias,A60,A60
60,61. What is the meaning of TF/IDF vectorization?,TF-IDF is an acronym for Term Frequency – Inverse Document Frequency. It is used as a numerical measure to denote the importance of a word in a document. This document is usually called the collection or the corpus.The TF-IDF value is directly proportional to the number of times a word is repeated in a document. TF-IDF is vital in the field of Natural Language Processing (NLP) as it is mostly used in the domain of text mining and information retrieval.,A61,A61
61,62. What are some of the low and high-bias Machine Learning algorithms?,"There are many low and high-bias Machine Learning algorithms, and the following are some of the widely used ones:Low bias: SVM, decision trees, KNN algorithm, etc.High bias: Linear and logistic regressionCheck out this Machine Learning Training in Noida and master ML Skills.",A62,A62
62,63. What is the use of Hash tables in statistics?,Hash tables are the data structures that are used to denote the representation of key-value pairs in a structured way. The hashing function is used by a hash table to compute an index that contains all of the details regarding the keys that are mapped to their associated values.,A63,A63
63,64. What are some of the techniques to reduce underfitting and overfitting during model training?,"Underfitting refers to a situation where data has high bias and low variance, while overfitting is the situation where there are high variance and low bias.Following are some of the techniques to reduce underfitting and overfitting:For reducing underfitting:Increase model complexityIncrease the number of featuresRemove noise from the dataIncrease the number of training epochsFor reducing overfitting:Increase training dataStop early while trainingLasso regularizationUse random dropouts",A64,A64
64,65. Can you give an example to denote the working of the central limit theorem?,"Let’s consider the population of men who have normally distributed weights, with a mean of 60 kg and a standard deviation of 10 kg, and the probability needs to be found out.If one single man is selected, the weight is greater than 65 kg, but if 40 men are selected, then the mean weight is far more than 65 kg.The solution to this can be as shown below:Z = (x − µ) / ? = (65 − 60) / 10 = 0.5 For a normal distribution P(Z > 0.5) = 0.409 Z = (65 − 60) / 5 = 1 P(Z > 1) = 0.090",A65,A65
65,66. How do you stay up-to-date with the new and upcoming concepts in statistics?,"This is a commonly asked question in a statistics interview. Here, the interviewer is trying to assess your interest and ability to find out and learn new things efficiently. Do talk about how you plan to learn new concepts and make sure to elaborate on how you practically implemented them while learning.If you are looking forward to learning and mastering all of the Data Analytics and Data Science concepts and earn a certification in the same, do take a look at Intellipaat’s latest Data Science with R Certification offerings.",A66,A66
66,67. What is the benefit of using box plots?,Box plots allow us to provide a graphical representation of the 5-number summary and can also be used to compare groups of histograms.Check out this Python Data Science Course to get an in-depth understanding of Data Science and Python.,A67,A67
67,68. Does a symmetric distribution need to be unimodal?,A symmetric distribution does not need to be unimodal (having only one mode or one value that occurs most frequently). It can be bi-modal (having two values that have the highest frequencies) or multi-modal (having multiple or more than two values that have the highest frequencies).,A68,A68
68,69. What is the impact of outliers in statistics?,"Outliers in statistics have a very negative impact as they skew the result of any statistical query. For example, if we want to calculate the mean of a dataset that contains outliers, then the mean calculated will be different from the actual mean (i.e., the mean we will get once we remove the outliers).",A69,A69
69,"70. When creating a statistical model, how do we detect overfitting?","Overfitting can be detected by cross-validation. In cross-validation, we divide the available data into multiple parts and iterate on the entire dataset. In each iteration, one part is used for testing, and others are used for training. This way, the entire dataset will be used for training and testing purposes, and we can detect if the data is being overfitted.",A70,A70
70,71. What is a survivorship bias?,The survivorship bias is the flaw of the sample selection that occurs when a dataset only considers the ‘surviving’ or existing observations and fails to consider those observations that have already ceased to exist.,A71,A71
71,72. What is an undercoverage bias?,The undercoverage bias is a bias that occurs when some members of the population are inadequately represented in the sample.,A72,A72
72,74. What is the relationship between standard deviation and standard variance?,"Standard deviation is the square root of standard variance. Basically, standard deviation takes a look at how the data is spread out from the mean. On the other hand, standard variance is used to describe how much the data varies from the mean of the entire dataset.",A73,A73
