web-scraper-order,web-scraper-start-url,questions_and_answers
"1675270905-32","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-33","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","7. How is missing data handled in statistics?"
"1675270905-34","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-35","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","There are many ways to handle missing data in Statistics:"
"1675270905-36","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Prediction of the missing values"
"1675270905-37","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Assignment of individual (unique) values"
"1675270905-38","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Deletion of rows, which have the missing data"
"1675270905-39","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Mean imputation or median imputation"
"1675270905-40","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Using random forests, which support the missing values"
"1675270905-41","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-42","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","8. What is exploratory data analysis?"
"1675270905-43","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-44","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Exploratory data analysis is the process of performing investigations on data to understand the data better."
"1675270905-45","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","In this, initial investigations are done to determine patterns, spot abnormalities, test hypotheses, and also check if the assumptions are right."
"1675270905-46","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-47","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","9. What is the meaning of selection bias?"
"1675270905-48","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-49","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Selection bias is a phenomenon that involves the selection of individual or grouped data in a way that is not considered to be random. Randomization plays a key role in performing analysis and understanding model functionality better."
"1675270905-50","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","If correct randomization is not achieved, then the resulting sample will not accurately represent the population."
"1675270905-51","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-52","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","10. What are the types of selection bias in statistics?"
"1675270905-53","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-54","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","There are many types of selection bias as shown below:"
"1675270905-55","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Observer selection"
"1675270905-56","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Attrition"
"1675270905-57","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Protopathic bias"
"1675270905-58","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Time intervals"
"1675270905-59","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Sampling bias"
"1675270905-60","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-61","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","11. What is the meaning of an inlier?"
"1675270905-62","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-63","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","An inlier is a data point that lies at the same level as the rest of the dataset. Finding an inlier in the dataset is difficult when compared to an outlier as it requires external data to do so. Inliers, similar to outliers reduce model accuracy. Hence, even they are removed when they’re found in the data. This is done mainly to maintain model accuracy at all times."
"1675270905-64","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-65","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","12. What is the probability of throwing two fair dice when the sum is 5 and 8?"
"1675270905-66","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-67","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","There are 4 ways of rolling a 5 (1+4, 4+1, 2+3, 3+2):"
"1675270905-68","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","P(Getting a 5) = 4/36 = 1/9"
"1675270905-69","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Now, there are 7 ways of rolling an 8 (1+7, 7+1, 2+6, 6+2, 3+5, 5+3, 4+4)"
"1675270905-70","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","P(Getting an 8) = 7/36 = 0.194"
"1675270905-71","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-72","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","13. State the case where the median is a better measure when compared to the mean."
"1675270905-73","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-74","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","In the case where there are a lot of outliers that can positively or negatively skew data, the median is preferred as it provides an accurate measure in this case of determination."
"1675270905-75","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-76","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","14. Can you give an example of root cause analysis?"
"1675270905-77","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-78","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Root cause analysis, as the name suggests, is a method used to solve problems by first identifying the root cause of the problem."
"1675270905-79","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Example: If the higher crime rate in a city is directly associated with the higher sales in a red-colored shirt, it means that they are having a positive correlation. However, this does not mean that one causes the other."
"1675270905-80","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Causation can always be tested using A/B testing or hypothesis testing."
"1675270905-81","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-82","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","15. What is the meaning of six sigma in statistics?"
"1675270905-83","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-84","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Six sigma is a quality assurance methodology used widely in statistics to provide ways to improve processes and functionality when working with data."
"1675270905-85","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","A process is considered as six sigma when 99.99966% of the outcomes of the model are considered to be defect-free."
"1675270905-86","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-87","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","16. What is DOE?"
"1675270905-88","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-89","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","DOE is an acronym for the Design of Experiments in statistics. It is considered as the design of a task that describes the information and the change of the same based on the changes to the independent input variables."
"1675270905-90","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-91","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","17. What is the meaning of KPI in statistics?"
"1675270905-92","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-93","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","KPI stands for Key Performance Analysis in statistics. It is used as a reliable metric to measure the success of a company with respect to its achieving the required business objectives."
"1675270905-94","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","There are many good examples of KPIs:"
"1675270905-95","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Profit margin percentage"
"1675270905-96","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Operating profit margin"
"1675270905-97","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Expense ratio"
"1675270905-98","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-99","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","18. What type of data does not have a log-normal distribution or a Gaussian distribution?"
"1675270905-100","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-101","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Exponential distributions do not have a log-normal distribution or a Gaussian distribution. In fact, any type of data that is categorical will not have these distributions as well."
"1675270905-102","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Example: Duration of a phone car, time until the next earthquake, etc."
"1675270905-103","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-104","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","19. What is the Pareto principle?"
"1675270905-105","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-106","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","The Pareto principle is also called the 80/20 rule, which means that 80 percent of the results are obtained from 20 percent of the causes in an experiment."
"1675270905-107","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","A simple example of the Pareto principle is the observation that 80 percent of peas come from 20 percent of pea plants on a farm."
"1675270905-108","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-109","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","20. What is the meaning of the five-number summary in Statistics?"
"1675270905-110","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-111","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","The five-number summary is a measure of five entities that cover the entire range of data as shown below:"
"1675270905-112","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Low extreme (Min)"
"1675270905-113","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","First quartile (Q1)"
"1675270905-114","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Median"
"1675270905-115","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Upper quartile (Q3)"
"1675270905-116","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","High extreme (Max)"
"1675270905-117","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-118","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","21. What are population and sample in Inferential Statistics, and how are they different?"
"1675270905-119","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-120","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","A population is a large volume of observations (data). The sample is a small portion of that population. Because of the large volume of data in the population, it raises the computational cost. The availability of all data points in the population is also an issue."
"1675270905-121","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","In short:"
"1675270905-122","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","We calculate the statistics using the sample."
"1675270905-123","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Using these sample statistics, we make conclusions about the population."
"1675270905-124","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-125","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","22. What are quantitative data and qualitative data?"
"1675270905-126","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-127","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Quantitative data is also known as numeric data."
"1675270905-128","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Qualitative data is also known as categorical data."
"1675270905-129","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-130","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","23. What is Mean?"
"1675270905-131","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-132","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Mean is the average of a collection of values. We can calculate the mean by dividing the sum of all observations by the number of observations."
"1675270905-133","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-134","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","24. What is the meaning of standard deviation?"
"1675270905-135","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-136","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Standard deviation represents the magnitude of how far the data points are from the mean. A low value of standard deviation is an indication of the data being close to the mean, and a high value indicates that the data is spread to extreme ends, far away from the mean."
"1675270905-137","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-138","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","25. What is a bell-curve distribution?"
"1675270905-139","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-140","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","A normal distribution can be called a bell-curve distribution. It gets its name from the bell curve shape that we get when we visualize the distribution."
"1675270905-141","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-142","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","26. What is skewness?"
"1675270905-143","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-144","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Skewness measures the lack of symmetry in a data distribution. It indicates that there are significant differences between the mean, the mode, and the median of data. Skewed data cannot be used to create a normal distribution."
"1675270905-145","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-146","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","27. What is kurtosis?"
"1675270905-147","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-148","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Kurtosis is used to describe the extreme values present in one tail of distribution versus the other. It is actually the measure of outliers present in the distribution. A high value of kurtosis represents large amounts of outliers being present in data. To overcome this, we have to either add more data into the dataset or remove the outliers."
"1675270905-149","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-150","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","28. What is correlation?"
"1675270905-151","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-152","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Correlation is used to test relationships between quantitative variables and categorical variables. Unlike covariance, correlation tells us how strong the relationship is between two variables. The value of correlation between two variables ranges from -1 to +1."
"1675270905-153","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","The -1 value represents a high negative correlation, i.e., if the value in one variable increases, then the value in the other variable will drastically decrease. Similarly, +1 means a positive correlation, and here, an increase in one variable will lead to an increase in the other. Whereas, 0 means there is no correlation."
"1675270905-154","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","If two variables are strongly correlated, then they may have a negative impact on the statistical model, and one of them must be dropped."
"1675270905-155","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Next up on this top Statistics Interview Questions and Answers blog, let us take a look at the intermediate set of questions."
"1675270905-156","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-157","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","29. What are left-skewed and right-skewed distributions?"
"1675270905-158","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-159","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","A left-skewed distribution is one where the left tail is longer than that of the right tail. Here, it is important to note that the mean < median < mode."
"1675270905-160","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Similarly, a right-skewed distribution is one where the right tail is longer than the left one. But, here mean > median > mode."
"1675270905-161","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","<img class=""aligncenter size-full"" src=""https://intellipaat.com/blog/wp-content/uploads/2020/09/Certification-in-Bigdata-Analytics-IITG.jpg"" alt=""Certification in Bigdata Analytics"" />"
"1675270905-162","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-163","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","30. What is the difference between Descriptive and Inferential Statistics?"
"1675270905-164","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-165","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Descriptive Statistics: Descriptive statistics is used to summarize a sample set of data like the standard deviation or the mean."
"1675270905-166","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Inferential statistics: Inferential statistics is used to draw conclusions from the test data that are subjected to random variations."
"1675270905-167","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-168","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","31. What are the types of sampling in Statistics?"
"1675270905-169","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-170","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","There are four main types of data sampling as shown below:"
"1675270905-171","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Simple random: Pure random division"
"1675270905-172","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Cluster: Population divided into clusters"
"1675270905-173","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Stratified: Data divided into unique groups"
"1675270905-174","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Systematical: Picks up every ‘n’ member in the data"
"1675270905-175","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-176","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","32. What is the meaning of covariance?"
"1675270905-177","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-178","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Covariance is the measure of indication when two items vary together in a cycle. The systematic relation is determined between a pair of random variables to see if the change in one will affect the other variable in the pair or not."
"1675270905-179","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-180","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","33. Imagine that Jeremy took part in an examination. The test is having a mean score of 160, and it has a standard deviation of 15. If Jeremy’s z-score is 1.20, what would be his score on the test?"
"1675270905-181","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-182","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","To determine the solution to the problem, the following formula is used:"
"1675270905-183","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","X = μ + Zσ Here: μ: Mean σ: Standard deviation X: Value to be calculated Therefore, X = 160 + (15*1.2) = 173.8 (Approximated to 174)"
"1675270905-184","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","If you are looking forward to becoming an expert in Statistics and Data Analytics, make sure to check out Intellipaat’s online Data Analyst Course program."
"1675270905-185","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-186","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","34. If a distribution is skewed to the right and has a median of 20, will the mean be greater than or less than 20?"
"1675270905-187","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-188","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","If the given distribution is a right-skewed distribution, then the mean should be greater than 20, while the mode remains to be less than 20."
"1675270905-189","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-190","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","35. What is Bessel's correction?"
"1675270905-191","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-192","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Bessel’s correction is a factor that is used to estimate a populations’ standard deviation from its sample. It causes the standard deviation to be less biased, thereby, providing more accurate results."
"1675270905-193","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-194","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","36. The standard normal curve has a total area to be under one, and it is symmetric around zero. True or False?"
"1675270905-195","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-196","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","True, a normal curve will have the area under unity and the symmetry around zero in any distribution. Here, all of the measures of central tendencies are equal to zero due to the symmetric nature of the standard normal curve."
"1675270905-197","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-198","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","37. In an observation, there is a high correlation between the time a person sleeps and the amount of productive work he does. What can be inferred from this?"
"1675270905-199","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-200","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","First, correlation does not imply causation here. Correlation is only used to measure the relationship, which is linear between rest and productive work. If both vary rapidly, then it means that there is a high amount of correlation between them."
"1675270905-201","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-202","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","38. What is the relationship between the confidence level and the significance level in statistics?"
"1675270905-203","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-204","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","The significance level is the probability of obtaining a result that is extremely different from the condition where the null hypothesis is true. While the confidence level is used as a range of similar values in a population."
"1675270905-205","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Both significance and confidence level are related by the following formula:"
"1675270905-206","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Significance level = 1 − Confidence level"
"1675270905-207","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-208","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","39. A regression analysis between apples (y) and oranges (x) resulted in the following least-squares line: y = 100 + 2x. What is the implication if oranges are increased by 1?"
"1675270905-209","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-210","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","If the oranges are increased by one, there will be an increase of 2 apples since the equation is:"
"1675270905-211","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","y = 100 + 2x."
"1675270905-212","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","<img class=""aligncenter wp-image-204480 size-full"" src=""https://intellipaat.com/blog/wp-content/uploads/2020/09/Become-a-Data-Science-Architect-IBM.jpg"" alt=""Become a Data Science Architect"" />"
"1675270905-213","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-214","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","40. What types of variables are used for Pearson’s correlation coefficient?"
"1675270905-215","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-216","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Variables to be used for the Pearson’s correlation coefficient must be either in a ratio or in an interval."
"1675270905-217","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Note that there can exist a condition when one variable is a ratio, while the other is an interval score."
"1675270905-218","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-219","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","41. In a scatter diagram, what is the line that is drawn above or below the regression line called?"
"1675270905-220","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-221","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","The line that is drawn above or below the regression line in a scatter diagram is called the residual or also the prediction error."
"1675270905-222","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-223","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","42. What are the examples of symmetric distribution?"
"1675270905-224","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-225","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Symmetric distribution means that the data on the left side of the median is the same as the one present on the right side of the median."
"1675270905-226","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","There are many examples of symmetric distribution, but the following three are the most widely used ones:"
"1675270905-227","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Uniform distribution"
"1675270905-228","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Binomial distribution"
"1675270905-229","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Normal distribution"
"1675270905-230","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-231","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","43. Where is inferential statistics used?"
"1675270905-232","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-233","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Inferential statistics is used for several purposes, such as research, in which we wish to draw conclusions about a population using some sample data. This is performed in a variety of fields, ranging from government operations to quality control and quality assurance teams in multinational corporations."
"1675270905-234","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-235","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","44. What is the relationship between mean and median in a normal distribution?"
"1675270905-236","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-237","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","In a normal distribution, the mean is equal to the median. To know if the distribution of a dataset is normal, we can just check the dataset’s mean and median."
"1675270905-238","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
